width,radius,dy,timepoint,diodicity
0.07,0.14,0.3,2430,1.0151956552116836
0.07,0.14,0.3,2440,1.0150601828921735
0.07,0.14,0.3,2450,1.0149910549517647
0.07,0.14,0.3,2460,1.0149770052675409
0.07,0.14,0.3,2470,1.0150065972671694
0.07,0.14,0.3,2480,1.0150685119352858
0.07,0.14,0.3,2490,1.0151436651361179
0.07,0.14,0.3,2500,1.0152112308375687
0.07,0.14,0.3,2510,1.0152608527134255
0.07,0.14,0.3,2520,1.0152896252252253
0.07,0.14,0.3,2530,1.0152927937027476
0.07,0.14,0.3,2540,1.015268174468088
0.07,0.14,0.3,2550,1.0152243381862025
0.07,0.14,0.3,2560,1.015174463109435
0.07,0.14,0.3,2570,1.015126977182314
0.07,0.14,0.3,2580,1.0150894957892427
0.07,0.14,0.3,2590,1.0150743946090899
0.07,0.14,0.3,2600,1.0150917633106367
0.07,0.14,0.3,2610,1.0151424787560066
0.07,0.14,0.3,2620,1.0152241741172574
0.07,0.14,0.3,2630,1.0153370141248674
0.07,0.14,0.3,2640,1.0154782398354572
0.07,0.14,0.3,2650,1.015638729696077
0.07,0.14,0.3,2660,1.0158106974491499
0.07,0.14,0.3,2670,1.0159927678391083
0.07,0.14,0.3,2680,1.0161844159126778
0.07,0.14,0.3,2690,1.0163829856234183
0.07,0.14,0.3,2700,1.0165894730153424
0.07,0.14,0.3,2710,1.0168100097106676
0.07,0.14,0.3,2720,1.017048544157477
0.07,0.14,0.3,2730,1.0173039222220108
0.07,0.14,0.3,2740,1.0175750537301014
0.07,0.14,0.3,2750,1.0178617837797308
0.07,0.14,0.3,2760,1.0181592475954162
0.07,0.14,0.3,2770,1.0184576930042903
0.07,0.14,0.3,2780,1.0187488501908755
0.07,0.14,0.3,2790,1.0190272281440318
0.07,0.14,0.3,2800,1.0192859283670088
0.07,0.14,0.3,2810,1.0195176307258083
0.07,0.14,0.3,2820,1.0197199629261706
0.07,0.14,0.3,2830,1.0198949919807603
0.07,0.14,0.3,2840,1.0200442258264932
0.07,0.14,0.3,2850,1.0201686818299651
0.07,0.14,0.3,2860,1.0202721635141276
0.07,0.14,0.3,2870,1.020359328250856
0.07,0.14,0.3,2880,1.0204314852958012
0.07,0.14,0.3,2890,1.0204881431352948
0.07,0.14,0.3,2900,1.0205308631996164
0.07,0.14,0.3,2910,1.0205618688891953
0.07,0.14,0.3,2920,1.0205809626499036
0.07,0.14,0.3,2930,1.0205873960444387
0.07,0.14,0.3,2940,1.0205827546948847
0.07,0.14,0.3,2950,1.020568971926436
0.07,0.14,0.3,2960,1.0205457565899054
0.07,0.14,0.3,2970,1.0205126968177622
0.07,0.14,0.3,2980,1.020471561118785
0.07,0.14,0.3,2990,1.0204241652554464
0.07,0.14,0.3,3000,1.0203703791740957
0.07,0.14,0.3,3010,1.0203102624671665
0.07,0.14,0.3,3020,1.0202456944399934
0.07,0.14,0.3,3030,1.0201781448236433
0.07,0.14,0.3,3040,1.0201072650585608
0.07,0.14,0.3,3050,1.0200331033958836
0.07,0.14,0.3,3060,1.0199572955611513
0.07,0.14,0.3,3070,1.0198809497822643
0.07,0.14,0.3,3080,1.0198037671415479
0.07,0.14,0.3,3090,1.0197261370792357
0.07,0.14,0.3,3100,1.0196497395571387
0.07,0.14,0.3,3110,1.0195753679227804
0.07,0.14,0.3,3120,1.0195023339816935
0.07,0.14,0.3,3130,1.0194303949236845
